Architecture,Set_sparsity,batch_size,inference_time,speed_increase(%),accuracy,dataset,GPU
ResNet50,TRUE,1,0.575,2.21,47.42%,ImageNet,A100
ResNet50,FALSE,1,0.588,0.00,47.42%,ImageNet,A100
ResNet50,TRUE,16,1.33,2.99,47.42%,ImageNet,A100
ResNet50,FALSE,16,1.371,0.00,47.42%,ImageNet,A100
ResNet50,TRUE,64,4.431,3.31,47.42%,ImageNet,A100
ResNet50,FALSE,64,4.583,0.00,47.42%,ImageNet,A100
ResNet50,TRUE,128,7.973,8.50,47.42%,ImageNet,A100
ResNet50,FALSE,128,8.714,0.00,47.42%,ImageNet,A100
ResNet50,TRUE,256,16.035,2.29,47.42%,ImageNet,A100
ResNet50,FALSE,256,16.411,0.00,47.42%,ImageNet,A100
ResNet101,TRUE,1,1.11,1.68,48.73%,ImageNet,A100
ResNet101,FALSE,1,1.129,0.00,48.73%,ImageNet,A100
ResNet101,TRUE,16,2.271,3.28,48.73%,ImageNet,A100
ResNet101,FALSE,16,2.348,0.00,48.73%,ImageNet,A100
ResNet101,TRUE,64,6.797,10.28,48.73%,ImageNet,A100
ResNet101,FALSE,64,7.576,0.00,48.73%,ImageNet,A100
ResNet101,TRUE,128,14.261,6.22,48.73%,ImageNet,A100
ResNet101,FALSE,128,15.208,0.00,48.73%,ImageNet,A100
ResNet101,TRUE,256,27.728,4.69,48.73%,ImageNet,A100
ResNet101,FALSE,256,29.095,0.00,48.73%,ImageNet,A100
ResNet152,TRUE,1,1.595,2.38,48.45%,ImageNet,A100
ResNet152,FALSE,1,1.634,0.00,48.45%,ImageNet,A100
ResNet152,TRUE,16,3.054,7.95,48.45%,ImageNet,A100
ResNet152,FALSE,16,3.318,0.00,48.45%,ImageNet,A100
ResNet152,TRUE,64,9.314,13.04,48.45%,ImageNet,A100
ResNet152,FALSE,64,10.711,0.00,48.45%,ImageNet,A100
ResNet152,TRUE,128,18.862,12.83,48.45%,ImageNet,A100
ResNet152,FALSE,128,21.639,0.00,48.45%,ImageNet,A100
ResNet152,TRUE,256,33.322,17.38,48.45%,ImageNet,A100
ResNet152,FALSE,256,40.333,0.00,48.45%,ImageNet,A100
ResNet56,TRUE,1,0.396,7.47,51.87%,CIFAR100,A100
ResNet56,FALSE,1,0.428,0.00,51.87%,CIFAR100,A100
ResNet56,TRUE,16,0.463,0.00,51.87%,CIFAR100,A100
ResNet56,FALSE,16,0.464,0.00,51.87%,CIFAR100,A100
ResNet56,TRUE,64,0.56,0.00,51.87%,CIFAR100,A100
ResNet56,FALSE,64,0.568,0.00,51.87%,CIFAR100,A100
ResNet56,TRUE,128,0.748,0.00,51.87%,CIFAR100,A100
ResNet56,FALSE,128,0.754,0.00,51.87%,CIFAR100,A100
ResNet56,TRUE,256,1.147,1.54,51.87%,CIFAR100,A100
ResNet56,FALSE,256,1.165,0.00,51.87%,CIFAR100,A100
ResNet50,TRUE,1,0.489,2.20,59.40%,ImageNet,A6000
ResNet50,FALSE,1,0.5,0.00,59.40%,ImageNet,A6000
ResNet50,TRUE,16,2.186,9.63,59.40%,ImageNet,A6000
ResNet50,FALSE,16,2.419,0.00,59.40%,ImageNet,A6000
ResNet50,TRUE,64,7.269,7.40,59.40%,ImageNet,A6000
ResNet50,FALSE,64,7.85,0.00,59.40%,ImageNet,A6000
ResNet50,TRUE,128,13.67,8.13,59.40%,ImageNet,A6000
ResNet50,FALSE,128,14.881,0.00,59.40%,ImageNet,A6000
ResNet50,TRUE,256,26.441,7.69,59.40%,ImageNet,A6000
ResNet50,FALSE,256,28.644,0.00,59.40%,ImageNet,A6000
ResNet101,TRUE,1,0.931,1.48,61.37%,ImageNet,A6000
ResNet101,FALSE,1,0.945,0.00,61.37%,ImageNet,A6000
ResNet101,TRUE,16,3.561,14.29,61.37%,ImageNet,A6000
ResNet101,FALSE,16,4.155,0.00,61.37%,ImageNet,A6000
ResNet101,TRUE,64,11.963,9.27,61.37%,ImageNet,A6000
ResNet101,FALSE,64,13.186,0.00,61.37%,ImageNet,A6000
ResNet101,TRUE,128,22.095,10.37,61.37%,ImageNet,A6000
ResNet101,FALSE,128,24.652,0.00,61.37%,ImageNet,A6000
ResNet101,TRUE,256,42.387,11.01,61.37%,ImageNet,A6000
ResNet101,FALSE,256,47.633,0.00,61.37%,ImageNet,A6000
ResNet152,TRUE,1,1.309,2.09,50.87%,ImageNet,A6000
ResNet152,FALSE,1,1.337,0.00,50.87%,ImageNet,A6000
ResNet152,TRUE,16,5.074,15.86,50.87%,ImageNet,A6000
ResNet152,FALSE,16,6.031,0.00,50.87%,ImageNet,A6000
ResNet152,TRUE,64,17.123,9.29,50.87%,ImageNet,A6000
ResNet152,FALSE,64,18.872,0.00,50.87%,ImageNet,A6000
ResNet152,TRUE,128,31.536,10.97,50.87%,ImageNet,A6000
ResNet152,FALSE,128,35.422,0.00,50.87%,ImageNet,A6000
ResNet152,TRUE,256,60.255,12.02,50.87%,ImageNet,A6000
ResNet152,FALSE,256,68.491,0.00,50.87%,ImageNet,A6000
ResNet56,TRUE,1,0.321,8.02,69.94%,CIFAR100,A6000
ResNet56,FALSE,1,0.349,0.00,69.94%,CIFAR100,A6000
ResNet56,TRUE,16,0.347,0.00,69.94%,CIFAR100,A6000
ResNet56,FALSE,16,0.345,0.00,69.94%,CIFAR100,A6000
ResNet56,TRUE,64,0.561,0.00,69.94%,CIFAR100,A6000
ResNet56,FALSE,64,0.553,0.00,69.94%,CIFAR100,A6000
ResNet56,TRUE,128,0.858,0.00,69.94%,CIFAR100,A6000
ResNet56,FALSE,128,0.859,0.00,69.94%,CIFAR100,A6000
ResNet56,TRUE,256,1.557,0.00,69.94%,CIFAR100,A6000
ResNet56,FALSE,256,1.556,0.00,69.94%,CIFAR100,A6000